Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
Clear ma khong biet duoc khong
void GlobalHandler::RestartMap()
Player::Init(int mode,int LastCheckPoint, int Life)
x: 18.000000, y: 472.000000, w: 32.000000, h: 32.000000, vx: -1.#IND00, vy: -1.#INF00
x: 18.000000, y: 472.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.020000
x: 18.000000, y: 467.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.014063
x: 18.000000, y: 452.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.019355
x: 18.000000, y: 433.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.015957
x: 18.000000, y: 397.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.029032
x: 18.000000, y: 369.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.033871
x: 18.000000, y: 336.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.037500
x: 18.000000, y: 297.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.043548
x: 18.000000, y: 255.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.048387
x: 18.000000, y: 208.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.053226
x: 18.000000, y: 156.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.056250
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003261
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003261
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.003191
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004688
x: 18.000000, y: 152.000000, w: 32.000000, h: 32.000000, vx: 0.000000, vy: -0.004839
